Car Name,Reviews Count,Fuel Type,Engine Displacement (cc),No. of cylinder,Seating Capacity,TransmissionType,Fuel Tank Capacity,Body Type,Rating,Starting Price,Ending Price,Max Torque (Nm),Max Torque (RPM),Max Power (BHP),Max Power (RPM)
Bentley Bentayga,1 review,Petrol,3956,8,4,Automatic,85,SUV,4,41000000,41000000,770,4500,542,6000
Ferrari SF90 Stradale,8 reviews,Petrol,3990,8,2,Automatic,68,Coupe,4.5,450000,450000,800,6000,769.31,7500
Strom Motors R3,2 reviews,Electric,0,0,2,Electric,0,Hatchback,3.5,21600000,22000000,90,0,20.11,0
Lexus LC 500h,1 review,Petrol,3456,6,4,Automatic,82,Coupe,4.5,22500000,25100000,350,5100,295.02,6600
Maserati GranTurismo,3 reviews,Petrol,4691,8,4,Automatic,86,Coupe,5,40200000,40200000,520,4750,460,7000
Ferrari F8 Tributo,6 reviews,Petrol,3902,8,2,Automatic,78,Coupe,3.5,8580000,12500000,770,3250,710.74,8000
Mercedes-Benz GLE,2 reviews,Diesel,2925,6,5,Automatic,93,SUV,4.5,14400000,14400000,700,4000,325.8,4200
BMW M4 Competition,11 reviews,Petrol,2993,6,5,Automatic,0,Coupe,4.5,16200000,22300000,650,5500,502.88,6250
BMW 8 Series,3 reviews,Petrol,4395,8,4,Automatic,68,Coupe,4.5,4200000,4600000,750,5600,600,6000
Mini Cooper Countryman,13 reviews,Petrol,1998,4,5,Automatic,51,SUV,4.5,4200000,4400000,280,1350,189.08,6000
Mercedes-Benz A-Class Limousine,3 reviews,Diesel,1950,4,5,Automatic,66,Sedan,4.5,13700000,25400000,320,3500,147.51,4000
Maserati GranCabrio,2 reviews,Diesel,4691,8,4,Automatic,75,Convertible,4,15900000,15900000,520,0,460,0
Mercedes-Benz AMG GLE 53,1 review,Petrol,2999,6,5,Automatic,85,Coupe,4.5,30000000,35000000,520,5800,435,6100
Aston Martin Vantage,3 reviews,Petrol,3998,8,2,Manual,73,Convertible,3.5,9950000,9950000,675,5000,502.88,6000
Mercedes-Benz EQC,1 review,Electric,0,0,5,Automatic,0,SUV,4.5,8247000,8247000,760,0,402.3,0
Mercedes-Benz AMG C 43,1 review,Petrol,2996,6,5,Automatic,0,Coupe,4.5,11100000,11100000,520,5000,384.87,6100
Lexus RX,5 reviews,Petrol,3456,6,5,Automatic,65,SUV,5,726000,726000,335,4600,258.81,6000
Hyundai Xcent Prime,8 reviews,CNG,1197,4,5,Manual,65,Sedan,4.5,12000000,12400000,97.96,4200,65.39,5600
Jaguar I-Pace,6 reviews,Electric,0,0,5,Electric,0,SUV,4.5,70600000,76400000,696,0,394.26,0
Rolls Royce Dawn,2 reviews,Petrol,6598,12,4,Automatic,0,Convertible,4,20800000,20800000,820,5000,563,6000
BMW X5 M,30 reviews,Petrol,4395,8,5,Automatic,83,SUV,5,32100000,49900000,750,5600,616.87,6000
Lamborghini Huracan EVO,5 reviews,Petrol,5204,10,2,Automatic,80,Coupe,4.5,4000000,4000000,565,6500,630.28,8000
Mini Cooper 3 DOOR,15 reviews,Petrol,1998,4,4,Automatic,44,Hatchback,4.5,8470000,8470000,280,1250,189.08,6000
Mercedes-Benz CLS,60 reviews,Diesel,1950,4,5,Automatic,66,Coupe,4.5,885000,912000,500,2400,241.3,4200
Mahindra Bolero PikUp ExtraLong,5 reviews,Diesel,2523,4,2,Manual,60,Pickup Truck,4.5,23300000,23300000,200,2200,75.09,3200
Lexus LX,1 review,Petrol,5663,8,8,Automatic,93,SUV,5,8700000,8700000,530,3200,362,5600
Mercedes-Benz AMG GLC 43,9 reviews,Petrol,2996,6,5,Automatic,0,SUV,4.5,927000,976000,520,5000,384.87,6100
Mahindra Bolero Camper,88 reviews,Diesel,2523,4,5,Manual,57,Pickup Truck,4.5,2999000,3549000,200,2200,75.09,3200
Tata Nexon EV Max,1 review,Electric,0,0,5,Electric,0,SUV,5,463000,583000,250,0,141.04,0
Mahindra Bolero Neo,97 reviews,Diesel,1493,3,7,Manual,50,SUV,4.5,903000,1173000,260,2250,100,3750
Mahindra Bolero Neo,1 review,Diesel,1493,3,7,Manual,50,SUV,4.5,13500000,25700000,260,2250,100,3750
Audi e-tron GT,1 review,Electric,0,0,5,Electric,0,Coupe,4.5,5800000,5800000,630,0,522.99,0
Maruti Swift Dzire Tour,1 review,CNG,1197,4,5,Manual,55,Sedan,4.5,13500000,25700000,95,4000,70.4,6000
Mercedes-Benz AMG A 35,21 reviews,Petrol,1991,4,5,Automatic,51,Sedan,4.5,1989000,1989000,400,4000,301.73,5800
Mercedes-Benz GLC Coupe,5 reviews,Diesel,1950,4,5,Automatic,66,Coupe,5,3132000,3132000,500,2400,241.38,4200
Toyota Glanza,23 reviews,Petrol,1197,4,5,Automatic,37,Hatchback,4.5,2990000,3695000,113,4400,88.5,6000
Toyota Glanza,3 reviews,Petrol,1197,4,5,Automatic,37,Hatchback,4.5,5590000,5590000,113,4400,88.5,6000
Porsche Cayenne Coupe,1 review,Petrol,3996,8,4,Automatic,0,SUV,3.5,18900000,18900000,850,4500,631.62,6000
Porsche Cayenne Coupe,6 reviews,Petrol,3996,8,4,Automatic,0,SUV,3.5,391000,397000,850,4500,631.62,6000
Honda City Hybrid,1 review,Petrol,1498,4,5,Automatic,40,Sedan,4.5,8150000,8150000,127,5000,96.55,6400
Compass Trailhawk,1 review,Diesel,1998,4,5,Automatic,60,SUV,4.5,5450000,5690000,350,2500,170,3750
Jeep Meridian,78 reviews,Diesel,1956,4,7,Automatic,60,SUV,4.5,1615000,2075000,350,2500,167.67,3750
Mercedes-Benz AMG A 45 S,35 reviews,Petrol,1991,4,5,Automatic,0,Hatchback,4.5,659000,999000,500,5250,415.71,6750
BMW 3 Series Gran Limousine,3 reviews,Petrol,1998,4,5,Automatic,59,Sedan,4.5,1041000,1041000,400,4400,254.79,5000
MG Hector Plus,2 reviews,Diesel,1956,4,7,Manual,60,SUV,4.5,1615000,2075000,350,2500,167.67,3750
Audi RS Q8,9 reviews,Petrol,3998,8,5,Automatic,85,SUV,3.5,21700000,21700000,800,4500,591.39,6000
Maruti Alto 800 tour,4 reviews,Petrol,796,3,5,Manual,35,Hatchback,4.5,391000,397000,69,3500,47.33,6000
